model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
벤츠 C300 AMG 라인,/mycar/mycar_view.php?no=2246253&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2246253&gubun=I,False,,벤츠  5세대  C300 AMG 라인,,False,,,,2022.04,26600.0,가솔린,자동,진회색,1999.0,
벤츠 C200 카브리올레,/mycar/mycar_view.php?no=2255114&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255114&gubun=I,False,,벤츠  4세대  C200 카브리올레 -,,False,,,,2020.04,55533.0,가솔린,자동,흰색,1991.0,
벤츠 C 4세대 C220 d  아방가르드,/mycar/mycar_view.php?no=2257303&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257303&gubun=I,False,1700.0,벤츠  4세대 C220 d  아방가르드,1700.0,False,,,,2019.03,91500.0,디젤,자동,흰색,1950.0,
벤츠 C220 d 4매틱,/mycar/mycar_view.php?no=2256853&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256853&gubun=I,False,,벤츠  4세대  C220 d 4매틱 -,,False,,,,2015.12 (16년형),124940.0,디젤,자동,진회색,2143.0,
벤츠 C 4세대  C200 쿠페,/mycar/mycar_view.php?no=2256577&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256577&gubun=I,False,1650.0,벤츠  4세대  C200 쿠페,1650.0,False,,,,2016.04,159000.0,가솔린,자동,은색,1991.0,
벤츠 C 4세대 C200 AMG 라인,/mycar/mycar_view.php?no=2255854&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255854&gubun=I,False,3850.0,벤츠  4세대 C200 AMG 라인,3850.0,False,,,,2021.05,18000.0,가솔린,자동,흰색,1991.0,
벤츠 C 3세대 C200 CGI 블루이피션시 아방가르드,/mycar/mycar_view.php?no=2254949&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254949&gubun=I,False,689.0,벤츠  3세대 C200 CGI 블루이피션시 아방가르드,689.0,False,,,,2012.06,126200.0,가솔린,자동,진주색,1796.0,
벤츠 E 11세대  E300 4매틱 AMG 라인,/mycar/mycar_view.php?no=2248734&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2248734&gubun=I,True,167.0,벤츠  11세대  E300 4매틱 AMG 라인,167.0,True,167.0,167.0,42 / 60,2024.07,30000.0,가솔린,자동,흰색,1999.0,
벤츠 E 11세대  E300 4매틱 익스클루시브,/mycar/mycar_view.php?no=2254414&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254414&gubun=I,True,99.0,벤츠  11세대  E300 4매틱 익스클루시브,99.0,True,,,36 / 48,2025.01 (24년형),12000.0,가솔린,자동,흰색,1999.0,
벤츠 E 11세대 E200  아방가르드,/mycar/mycar_view.php?no=2257319&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257319&gubun=I,True,0.0,벤츠  11세대 E200  아방가르드,0.0,True,,,50 / 60,2025.04,4230.0,가솔린,자동,흰색,1999.0,
벤츠 E 11세대 E200 아방가르드,/mycar/mycar_view.php?no=2257193&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257193&gubun=I,True,400.0,벤츠  11세대 E200 아방가르드,400.0,True,,121.0,41 / 60,2024.06,15000.0,가솔린,자동,흰색,1999.0,
벤츠 E220 d 4매틱 익스클루시브,/mycar/mycar_view.php?no=2255951&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255951&gubun=I,False,6550.0,벤츠  11세대  E220 d 4매틱 익스클루시브,6550.0,False,,,,2024.09,17000.0,디젤,자동,흰색,1993.0,
벤츠 E200 아방가르드,/mycar/mycar_view.php?no=2254521&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254521&gubun=I,False,,벤츠  11세대  E200 아방가르드,,False,,,,2025.03,2405.0,가솔린,자동,흰색,1999.0,
벤츠 E 11세대 E220 d 4매틱 익스클루시브,/mycar/mycar_view.php?no=2242564&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2242564&gubun=I,True,0.0,벤츠  11세대 E220 d 4매틱 익스클루시브,0.0,True,,,48 / 60,2024.11,1920.0,디젤,자동,흰색,1993.0,
벤츠 E 11세대 E300 4매틱 AMG 라인,/mycar/mycar_view.php?no=2242561&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2242561&gubun=I,True,0.0,벤츠  11세대 E300 4매틱 AMG 라인,0.0,True,,,44 / 60,2024.08,2300.0,가솔린 하이브리드,자동,흰색,1999.0,
벤츠 E200 아방가르드,/mycar/mycar_view.php?no=2255897&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255897&gubun=I,False,,벤츠  11세대  E200 아방가르드,,False,,,,2024.06,21078.0,가솔린,자동,흰색,1999.0,
벤츠 E 11세대 E200 아방가르드,/mycar/mycar_view.php?no=2254360&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254360&gubun=I,False,9999.0,벤츠  11세대 E200 아방가르드,9999.0,False,,,,2025.06,6176.0,가솔린,자동,흰색,1999.0,
벤츠 E450 4매틱 익스클루시브,/mycar/mycar_view.php?no=2253904&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253904&gubun=I,False,12680.0,벤츠  11세대  E450 4매틱 익스클루시브,,False,,,,2025.05,3669.0,가솔린,자동,검정색,2998.0,
벤츠 E450 4매틱 익스클루시브,/mycar/mycar_view.php?no=2253721&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2253721&gubun=I,False,,벤츠  11세대  E450 4매틱 익스클루시브,,False,,,,2023.11,31964.0,가솔린,자동,진청색,2999.0,
벤츠 E220 d 4매틱 익스클루시브,/mycar/mycar_view.php?no=2243244&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2243244&gubun=I,False,,벤츠  11세대  E220 d 4매틱 익스클루시브,,False,,,,2024.04,9600.0,디젤,자동,검정색,1993.0,
벤츠 E220 d 4매틱 AMG 라인,/mycar/mycar_view.php?no=2257376&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257376&gubun=I,False,,벤츠  10세대  E220 d 4매틱 AMG 라인,,False,,,,2022.07,33000.0,디젤,자동,흰색,1993.0,
벤츠 E 10세대  E450 4매틱 익스클루시브,/mycar/mycar_view.php?no=2229074&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2229074&gubun=I,True,10.0,벤츠  10세대  E450 4매틱 익스클루시브,10.0,True,,,32 / 60,2023.07,16000.0,가솔린,자동,검정색,2999.0,
벤츠 E 10세대  E350 4매틱 아방가르드,/mycar/mycar_view.php?no=2230271&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2230271&gubun=I,True,10.0,벤츠  10세대  E350 4매틱 아방가르드,10.0,True,,,25 / 60,2022.04,25000.0,하이브리드(가솔린/전기),자동,검정색,1991.0,
벤츠 E 10세대 E250 익스클루시브,/mycar/mycar_view.php?no=2236864&gubun=I,https://bobaedream.co.kr/mycar/mycar_view.php?no=2236864&gubun=I,True,99.0,벤츠  10세대 E250 익스클루시브,99.0,True,,,32 / 60,2023.06,20000.0,가솔린,자동,검정색,1991.0,
